"reviewId","movieId","creationDate","criticName","criticPageUrl","reviewState","isFresh","isRotten","isRtUrl","isTopCritic","publicationUrl","publicationName","reviewUrl","quote","scoreSentiment","originalScore"
1896591,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","1998-12-18","Owen Gleiberman","/critics/owen-gleiberman","rotten",False,True,False,True,"/critics/source/150","Entertainment Weekly","http://www.ew.com/ew/article/0,,286166,00.html","There's a nagging disharmony between the grandeur of the tale and the lazily anachronistic dialogue, which spoon-feeds the audience.","NEGATIVE","C+"
85938,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Janet Maslin","/critics/janet-maslin","fresh",True,False,"",True,"/critics/source/337","New York Times","","A well-made work with much to recommend it!","POSITIVE",""
85940,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","James Berardinelli","/critics/james-berardinelli","fresh",True,False,False,False,"/critics/source/387","ReelViews","http://www.reelviews.net/php_review_template.php?identifier=1770","This movie is worth a trip to the local multiplex by viewers of all ages, races, and religious persuasions.","POSITIVE","3.5/4"
85941,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Charles Taylor","/critics/charles-taylor","rotten",False,True,False,True,"/critics/source/400","Salon.com","http://www.salon.com/ent/movies/reviews/1998/12/18reviewc.html","The Prince of Egypt is middlebrow kitsch, but kitsch straining for respectability and therefore without the energy that can make kitsch entertaining.","NEGATIVE",""
85942,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Roger Ebert","/critics/roger-ebert","fresh",True,False,False,True,"/critics/source/67","Chicago Sun-Times","http://www.rogerebert.com/reviews/the-prince-of-egypt-1998","If de Mille had seen this film, he would have gone back to the drawing board!","POSITIVE","3.5/4"
85946,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Sean P. Means","/critics/sean-p-means","fresh",True,False,"",True,"/critics/source/176","Film.com","","If The Prince of Egypt falls short in its song and story, it succeeds gloriously in its epic grandeur and visual splendor.","POSITIVE",""
85950,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","","","fresh",True,False,False,False,"/critics/source/137","E! Online","http://www.eonline.com/Reviews/Movies/Leaves/0,20,895,00.html","An outstanding visual achievement!","POSITIVE",""
85958,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Nell Minow","/critics/nell-minow","fresh",True,False,"",True,"/critics/source/300","Movie Mom","","The movie has some astonishing visual effects.","POSITIVE","4/5"
85965,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Ross Anthony","/critics/ross-anthony","fresh",True,False,False,False,"/critics/source/567","Hollywood Report Card","http://rossanthony.com/P/princeeg.shtml","the people at DreamWorks put their brushes to the film with the spirit Moses put his staff in the mighty Nile, lighting it up with the eerie color of bloodshed.","POSITIVE","4/4"
85972,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","MaryAnn Johanson","/critics/maryann-johanson","fresh",True,False,False,False,"/critics/source/188","Flick Filosopher","http://www.flickfilosopher.com/flickfilos/archive/1q99/princeofegypt.html","Whether you're a believer or not, The Prince of Egypt is highly entertaining.","POSITIVE","9/10"
85973,"0961153f-2d3b-35fd-9814-62c26b1e6cbe","2000-01-01","Jim Judy","/critics/jim-judy","fresh",True,False,False,False,"/critics/source/411","Screen It!","http://www.screenit.com/movies/1998/the_prince_of_egypt.html","Characters are extremely lifelike in appearance and movement, and some of the scenes are magnificently staged in composition and depth, including the well-known and beautifully executed parting of the Red Sea.","POSITIVE",""
